price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
9292.7,9302.98,9292.65,9292.65,2018-04-30T20:45:57.0000000Z,2018-04-30T20:45:01.0000000Z,2018-04-30T20:46:00.0000000Z,2018-04-30T20:45:00.0000000Z,13,2.07894682
9302.17,9303.09,9292.71,9302.88,2018-04-30T20:46:54.0000000Z,2018-04-30T20:46:02.0000000Z,2018-04-30T20:47:00.0000000Z,2018-04-30T20:46:00.0000000Z,9,1.10785017
9301.99,9302.22,9292.71,9302.22,2018-04-30T20:47:53.0000000Z,2018-04-30T20:47:02.0000000Z,2018-04-30T20:48:00.0000000Z,2018-04-30T20:47:00.0000000Z,16,1.60780472
9301.98,9301.98,9292.73,9301.94,2018-04-30T20:48:58.0000000Z,2018-04-30T20:48:13.0000000Z,2018-04-30T20:49:00.0000000Z,2018-04-30T20:48:00.0000000Z,8,1.09488802
9300.99,9300.99,9292.74,9292.74,2018-04-30T20:49:57.0000000Z,2018-04-30T20:49:08.0000000Z,2018-04-30T20:50:00.0000000Z,2018-04-30T20:49:00.0000000Z,5,0.38138309
9291.04,9300.99,9291.04,9292.74,2018-04-30T20:50:57.0000000Z,2018-04-30T20:50:00.0000000Z,2018-04-30T20:51:00.0000000Z,2018-04-30T20:50:00.0000000Z,12,1.46566831
9293.84,9304.04,9287.88,9298.29,2018-04-30T20:51:59.0000000Z,2018-04-30T20:51:09.0000000Z,2018-04-30T20:52:00.0000000Z,2018-04-30T20:51:00.0000000Z,18,2.17507087
9304.04,9304.04,9293.63,9293.63,2018-04-30T20:52:57.0000000Z,2018-04-30T20:52:00.0000000Z,2018-04-30T20:53:00.0000000Z,2018-04-30T20:52:00.0000000Z,13,1.41890646
9293.8,9304.04,9293.8,9304.04,2018-04-30T20:53:58.0000000Z,2018-04-30T20:53:02.0000000Z,2018-04-30T20:54:00.0000000Z,2018-04-30T20:53:00.0000000Z,13,0.98311878
9289.85,9298.82,9289.83,9294.06,2018-04-30T20:54:50.0000000Z,2018-04-30T20:54:03.0000000Z,2018-04-30T20:55:00.0000000Z,2018-04-30T20:54:00.0000000Z,16,1.57702215
9282.01,9298.5,9282.01,9289.85,2018-04-30T20:55:55.0000000Z,2018-04-30T20:55:00.0000000Z,2018-04-30T20:56:00.0000000Z,2018-04-30T20:55:00.0000000Z,31,35.74192865
9283.17,9290.99,9275.87,9282.01,2018-04-30T20:56:56.0000000Z,2018-04-30T20:56:00.0000000Z,2018-04-30T20:57:00.0000000Z,2018-04-30T20:56:00.0000000Z,19,1.48643156
