data_end,data_orderbook_end,data_orderbook_start,data_quote_end,data_quote_start,data_start,data_symbols_count,data_trade_count,data_trade_end,data_trade_start,exchange_id,name,website
2018-05-05,2018-05-05T13:09:04.1150859Z,2017-09-21T13:36:45.5891048Z,2018-05-05T13:09:04.1150859Z,2017-09-21T13:36:45.5891048Z,2017-09-20,8,63092458.0,2018-05-05T13:09:00.0000000Z,2017-09-20T13:37:21.0000000Z,COINONE,coinone,https://coinone.co.kr/
2018-05-05,2018-05-05T13:08:59.2570638Z,2017-12-18T21:01:51.6121385Z,2018-05-05T13:08:59.2570638Z,2017-12-18T21:01:51.6121385Z,2017-12-01,469,51622254.0,2018-05-05T13:08:39.0000000Z,2017-12-01T15:26:32.0000000Z,OKEX,OKEx,https://www.okex.com/
2018-05-05,2018-05-05T13:09:41.9394984Z,2015-02-15T12:53:46.6330000Z,2018-05-05T13:09:41.9394984Z,2015-02-15T12:53:46.6330000Z,2015-02-14,5,20120699.0,2018-05-05T13:08:55.0000000Z,2015-02-14T16:15:05.5900000Z,OKCOIN_USD,OKCoin USD,https://www.okcoin.com/
2018-05-03,2018-05-03T15:57:06.2652011Z,2015-05-17T14:57:14.3470000Z,2018-05-03T15:57:06.2652011Z,2015-05-17T14:57:14.3470000Z,2015-05-17,6,19595199.0,2018-03-09T23:34:06.0410000Z,2015-05-17T15:04:12.0000000Z,BTCTRADE,BTCTRADE,https://www.btctrade.com/
2018-05-05,2018-05-05T13:09:59.0000000Z,2017-03-14T20:04:08.1113853Z,2018-05-05T13:09:59.0000000Z,2017-03-14T20:04:08.1113853Z,2015-09-25,58,11185270.0,2018-05-05T13:09:54.0000000Z,2015-09-25T12:34:25.0000000Z,BITMEX,BitMEX,https://www.bitmex.com/
2018-05-05,2018-05-05T13:09:24.4550610Z,2017-03-18T22:53:42.0948480Z,2018-05-05T13:09:24.4550610Z,2017-03-18T22:53:42.0948480Z,2015-10-08,3,9795377.0,2018-05-05T13:09:19.6920000Z,2015-10-08T13:40:07.8010000Z,GEMINI,Gemini,https://gemini.com/
2018-05-05,2018-05-05T13:09:35.4719285Z,2015-05-26T18:24:28.9330000Z,2018-05-05T13:09:35.4719285Z,2015-05-26T18:24:28.9330000Z,2013-08-25,3,2858355.0,2018-05-05T13:06:03.0000000Z,2013-08-25T00:21:44.0000000Z,ITBIT,itBit,https://www.itbit.com/
2018-03-09,2018-03-09T23:36:50.7701113Z,2015-03-29T21:46:06.2630000Z,2018-03-09T23:36:50.7701113Z,2015-03-29T21:46:06.2630000Z,2015-03-29,2,538686774.0,2018-03-09T23:30:18.0330000Z,2015-03-29T21:46:08.7030000Z,HUOBI,Huobi,https://www.huobi.com/
2018-03-09,2018-03-09T23:36:50.7544837Z,2014-02-24T17:43:05.0000000Z,2018-03-09T23:36:50.7544837Z,2014-02-24T17:43:05.0000000Z,2011-08-14,24,65974803.0,2018-03-09T23:36:51.3410000Z,2011-08-14T14:14:40.0000000Z,BTC-E,BTC-e,https://btc-e.com/
2018-05-05,2018-05-05T13:18:44.8183517Z,2017-03-14T20:03:49.1491232Z,2018-05-05T13:18:44.8183517Z,2017-03-14T20:03:49.1491232Z,2014-12-19,2057,64300252.0,2018-05-05T12:12:53.0000000Z,2014-12-19T15:12:05.0000000Z,CRYPTOPIA,Cryptopia,https://www.cryptopia.co.nz/
