date_t,order,symbol,size,price,fillprice,slippage,slippage_percent,provider,protocol
"2018-03-02 05:33:12.4300",13296001,EURUSD,100000,1.22771,1.22771,0,0,divisa_nz_j_2,hotspot
"2018-03-02 15:06:00.2290",13307067,EURUSD,98000,1.2325,1.2325,0,0,divisa_nz_j_2,hotspot
"2018-03-07 03:22:00.2000",13354830,GBPUSD,100000,1.38928,1.38928,0,0,divisa_nz_j,fxcm_fm
"2018-03-07 17:22:00.4630",13367535,GBPUSD,100000,1.38812,1.38812,0,0,divisa_nz_j_2,hotspot
"2018-03-08 12:47:56.6250",13378225,EURUSD,100000,1.24182,1.24182,0,0,divisa_nz_j_2,hotspot
"2018-03-09 12:07:00.1660",13402021,GBPUSD,100000,1.38248,1.38248,0,0,divisa_nz_j,fxcm_fm
"2018-03-12 16:31:00.4640",13515783,EURGBP,100000,0.88672,0.88672,0,0,divisa_nz_j_2,hotspot
"2017-08-15 15:34:22.3870",9561040,AUDUSD,1000,0.78187,0.78187,0,0,divisauk_1,primexm_fix44
"2018-03-13 12:44:50.8710",13531187,EURJPY,100000,132.09,132.09,0,0,divisa_nz_j_2,hotspot
"2017-08-15 17:19:02.1280",9562646,EURUSD,4000,1.1741,1.1741,0,0,divisa_m,mahi
"2018-03-16 12:27:00.4740",13599543,EURJPY,100000,130.228,130.228,0,0,divisa_nz_j_2,hotspot
"2017-08-17 16:39:49.5430",9620899,NZDUSD,29000,0.73031,0.73031,0,0,divisa_m,mahi
"2018-03-16 13:39:00.3620",13601093,EURJPY,100000,130.186,130.186,0,0,divisa_nz_j_2,hotspot
"2018-03-16 18:20:00.4660",13605557,GBPUSD,100000,1.39379,1.39379,0,0,divisa_nz_j_2,hotspot
"2018-02-27 12:47:00.2730",13237811,EURUSD,100000,1.23175,1.23175,0,0,divisa_nz_j_2,hotspot
"2018-02-28 01:16:18.2030",13252660,EURUSD,100000,1.22329,1.22329,0,0,divisa_nz_j_2,hotspot
"2018-02-28 16:26:40.0430",13267894,EURUSD,100000,1.22063,1.22063,0,0,divisa_nz_j_2,hotspot
"2018-03-01 01:42:00.3120",13273294,EURUSD,100000,1.21868,1.21868,0,0,divisa_nz_j_2,hotspot
"2018-03-01 12:23:23.3860",13280030,EURUSD,10000,1.21736,1.21736,0,0,divisa_nz_j_2,hotspot
"2018-03-01 19:42:00.3830",13291555,EURUSD,100000,1.22345,1.22345,0,0,divisa_nz_j_2,hotspot
"2018-03-02 07:26:35.6780",13298053,EURUSD,100000,1.22544,1.22544,0,0,divisa_nz_j_2,hotspot
"2018-03-06 12:06:00.0860",13337123,EURUSD,100000,1.23935,1.23935,0,0,divisa_nz_j_2,hotspot
"2018-03-07 11:35:02.8870",13360312,GBPUSD,100000,1.38645,1.38645,0,0,divisa_nz_j,fxcm_fm
"2018-03-09 01:30:00.2550",13392042,GBPUSD,100000,1.37961,1.37961,0,0,divisa_nz_j_2,hotspot
"2018-03-09 16:30:00.3340",13415006,EURUSD,100000,1.23224,1.23224,0,0,divisa_nz_j_2,hotspot
"2018-03-13 08:32:00.4760",13522758,EURUSD,100000,1.23288,1.23288,0,0,divisa_nz_j_2,hotspot
